time_period,time_identifier,level,country_code,country_name,school_type,characteristic_breakdown,characteristic_label,characteristic_2,headcount
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity,Total,489975
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Male,250495
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Female,239480
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity,Total,447810
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Male,226990
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Female,220820
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity,Total,119645
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity_gender,Male,59865
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity_gender,Female,59780
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_African,Ethnicity,Total,59580
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_African,Ethnicity_gender,Male,29855
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Black_African,Ethnicity_gender,Female,29725
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Asian,Ethnicity,Total,105120
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Asian,Ethnicity_gender,Male,53610
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_White_and_Asian,Ethnicity_gender,Female,51510
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity,Total,163470
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity_gender,Male,83660
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity_gender,Female,79810
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Asian_Total,Ethnicity,Total,871920
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Asian_Total,Ethnicity_gender,Male,444970
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Asian_Total,Ethnicity_gender,Female,426950
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Indian,Ethnicity,Total,238345
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Indian,Ethnicity_gender,Male,122435
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Indian,Ethnicity_gender,Female,115910
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Pakistani,Ethnicity,Total,349980
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Pakistani,Ethnicity_gender,Male,178050
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Pakistani,Ethnicity_gender,Female,171930
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Bangladeshi,Ethnicity,Total,139075
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Bangladeshi,Ethnicity_gender,Male,69945
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Bangladeshi,Ethnicity_gender,Female,69130
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Asian_background,Ethnicity,Total,144520
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Asian_background,Ethnicity_gender,Male,74540
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_Asian_background,Ethnicity_gender,Female,69980
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Black_Total,Ethnicity,Total,452570
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Black_Total,Ethnicity_gender,Male,227205
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Black_Total,Ethnicity_gender,Female,225365
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_Caribbean,Ethnicity,Total,92595
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_Caribbean,Ethnicity_gender,Male,46460
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_Caribbean,Ethnicity_gender,Female,46135
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_African,Ethnicity,Total,300635
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_African,Ethnicity_gender,Male,150495
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Black_African,Ethnicity_gender,Female,150135
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_black_background,Ethnicity,Total,59345
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_black_background,Ethnicity_gender,Male,30250
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minor_Any_other_black_background,Ethnicity_gender,Female,29100
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Chinese,Ethnicity,Total,35130
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Chinese,Ethnicity_gender,Male,17800
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Chinese,Ethnicity_gender,Female,17335
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Any_Other_Ethnic_Group,Ethnicity,Total,146855
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Any_Other_Ethnic_Group,Ethnicity_gender,Male,75835
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Any_Other_Ethnic_Group,Ethnicity_gender,Female,71020
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minority_ethnic_group,Ethnicity,Total,2498930
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minority_ethnic_group,Ethnicity_gender,Male,1271065
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Minority_ethnic_group,Ethnicity_gender,Female,1227865
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Unclassified,Ethnicity,Total,86185
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Unclassified,Ethnicity_gender,Male,44345
201617,,NATIONAL,E92000001,England,Total,Ethnicity_Major_Unclassified,Ethnicity_gender,Female,41840
201617,,NATIONAL,E92000001,England,Total,NC_Year_Nursery,NC_year,Total,309295
201617,,NATIONAL,E92000001,England,Total,NC_Year_Nursery,NC_year_gender,Male,157055
201617,,NATIONAL,E92000001,England,Total,NC_Year_Nursery,NC_year_gender,Female,152240
201617,,NATIONAL,E92000001,England,Total,NC_Year_Reception,NC_year,Total,663485
201617,,NATIONAL,E92000001,England,Total,NC_Year_Reception,NC_year_gender,Male,339995
201617,,NATIONAL,E92000001,England,Total,NC_Year_Reception,NC_year_gender,Female,323490
201617,,NATIONAL,E92000001,England,Total,NC_Year_1,NC_year,Total,666745
201617,,NATIONAL,E92000001,England,Total,NC_Year_1,NC_year_gender,Male,342005
201617,,NATIONAL,E92000001,England,Total,NC_Year_1,NC_year_gender,Female,324740
201617,,NATIONAL,E92000001,England,Total,NC_Year_2,NC_year,Total,655940
201617,,NATIONAL,E92000001,England,Total,NC_Year_2,NC_year_gender,Male,336365
201617,,NATIONAL,E92000001,England,Total,NC_Year_2,NC_year_gender,Female,319575
201617,,NATIONAL,E92000001,England,Total,NC_Year_3,NC_year,Total,643665
201617,,NATIONAL,E92000001,England,Total,NC_Year_3,NC_year_gender,Male,329250
201617,,NATIONAL,E92000001,England,Total,NC_Year_3,NC_year_gender,Female,314415
201617,,NATIONAL,E92000001,England,Total,NC_Year_4,NC_year,Total,646855
201617,,NATIONAL,E92000001,England,Total,NC_Year_4,NC_year_gender,Male,330735
201617,,NATIONAL,E92000001,England,Total,NC_Year_4,NC_year_gender,Female,316120
201617,,NATIONAL,E92000001,England,Total,NC_Year_5,NC_year,Total,621565
201617,,NATIONAL,E92000001,England,Total,NC_Year_5,NC_year_gender,Male,318155
201617,,NATIONAL,E92000001,England,Total,NC_Year_5,NC_year_gender,Female,303410
201617,,NATIONAL,E92000001,England,Total,NC_Year_6,NC_year,Total,601345
201617,,NATIONAL,E92000001,England,Total,NC_Year_6,NC_year_gender,Male,307430
201617,,NATIONAL,E92000001,England,Total,NC_Year_6,NC_year_gender,Female,293915
201617,,NATIONAL,E92000001,England,Total,NC_Year_7,NC_year,Total,583750
201617,,NATIONAL,E92000001,England,Total,NC_Year_7,NC_year_gender,Male,298505
201617,,NATIONAL,E92000001,England,Total,NC_Year_7,NC_year_gender,Female,285250
201617,,NATIONAL,E92000001,England,Total,NC_Year_8,NC_year,Total,571840
201617,,NATIONAL,E92000001,England,Total,NC_Year_8,NC_year_gender,Male,292315
201617,,NATIONAL,E92000001,England,Total,NC_Year_8,NC_year_gender,Female,279525
201617,,NATIONAL,E92000001,England,Total,NC_Year_9,NC_year,Total,554955
201617,,NATIONAL,E92000001,England,Total,NC_Year_9,NC_year_gender,Male,283825
201617,,NATIONAL,E92000001,England,Total,NC_Year_9,NC_year_gender,Female,271130
201617,,NATIONAL,E92000001,England,Total,NC_Year_10,NC_year,Total,535360
201617,,NATIONAL,E92000001,England,Total,NC_Year_10,NC_year_gender,Male,273760
201617,,NATIONAL,E92000001,England,Total,NC_Year_10,NC_year_gender,Female,261600
201617,,NATIONAL,E92000001,England,Total,NC_Year_11,NC_year,Total,529215
201617,,NATIONAL,E92000001,England,Total,NC_Year_11,NC_year_gender,Male,269195
201617,,NATIONAL,E92000001,England,Total,NC_Year_11,NC_year_gender,Female,260025
201617,,NATIONAL,E92000001,England,Total,NC_Year_12_and_above,NC_year,Total,436905
201617,,NATIONAL,E92000001,England,Total,NC_Year_12_and_above,NC_year_gender,Male,209430
201617,,NATIONAL,E92000001,England,Total,NC_Year_12_and_above,NC_year_gender,Female,227475
201617,,NATIONAL,E92000001,England,Total,NC_Year_Not_followed,NC_year,Total,1410
201617,,NATIONAL,E92000001,England,Total,NC_Year_Not_followed,NC_year_gender,Male,985
201617,,NATIONAL,E92000001,England,Total,NC_Year_Not_followed,NC_year_gender,Female,425
201617,,NATIONAL,E92000001,England,Total,NC_Year_Unclassified,NC_year,Total,0
201617,,NATIONAL,E92000001,England,Total,NC_Year_Unclassified,NC_year_gender,Male,0
201617,,NATIONAL,E92000001,England,Total,NC_Year_Unclassified,NC_year_gender,Female,0
201617,,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_Eligible,Total,1118520
201617,,NATIONAL,E92000001,England,Total,FSM_NotEligible,FSM_Eligible,Total,6906555
201617,,NATIONAL,E92000001,England,Total,FSM_Unclassified,FSM_Eligible,Total,0
201617,,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_eligible_in_last_6_years,Total,1881590
201617,,NATIONAL,E92000001,England,Total,FSM_not_eligible_in_last_6_years,FSM_eligible_in_last_6_years,Total,5394525
201617,,NATIONAL,E92000001,England,Total,FSM_unclassified_in_last_6_years,FSM_eligible_in_last_6_years,Total,748960
201617,,NATIONAL,E92000001,England,Total,SEN_provision_No_identified_SEN,SEN_provision,Total,6880850
