year,level,country_code,country,school_type,characteristic_desc,characteristic_1,characteristic_2,headcount
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Male,250495
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Female,239480
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Mixed_Total,Total,447810
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Male,226990
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Female,220820
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,Total,119645
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Male,59865
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Female,59780
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_African,Total,59580
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Male,29855
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Female,29725
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Asian,Total,105120
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Male,53610
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Female,51510
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,Total,163470
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Male,83660
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Female,79810
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Asian_Total,Total,871920
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Male,444970
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Female,426950
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Indian,Total,238345
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Male,122435
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Female,115910
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Pakistani,Total,349980
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Male,178050
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Female,171930
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Bangladeshi,Total,139075
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Male,69945
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Female,69130
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,Total,144520
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Male,74540
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Female,69980
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Black_Total,Total,452570
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Black_Total,Male,227205
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Black_Total,Female,225365
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Black_Caribbean,Total,92595
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_Caribbean,Male,46460
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_Caribbean,Female,46135
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Black_African,Total,300635
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_African,Male,150495
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_African,Female,150135
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_black_background,Total,59345
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_black_background,Male,30250
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_black_background,Female,29100
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Chinese,Total,35130
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Chinese,Male,17800
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Chinese,Female,17335
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_Other_Ethnic_Group,Total,146855
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_Other_Ethnic_Group,Male,75835
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_Other_Ethnic_Group,Female,71020
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minority_ethnic_pupil,Total,2498930
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minority_ethnic_pupil,Male,1271065
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minority_ethnic_pupil,Female,1227865
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Unclassified,Total,86185
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Unclassified,Male,44345
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Unclassified,Female,41840
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Nursery,Total,309295
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Nursery,Male,157055
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Nursery,Female,152240
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Reception,Total,663485
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Reception,Male,339995
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Reception,Female,323490
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_1,Total,666745
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_1,Male,342005
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_1,Female,324740
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_2,Total,655940
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_2,Male,336365
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_2,Female,319575
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_3,Total,643665
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_3,Male,329250
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_3,Female,314415
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_4,Total,646855
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_4,Male,330735
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_4,Female,316120
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_5,Total,621565
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_5,Male,318155
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_5,Female,303410
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_6,Total,601345
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_6,Male,307430
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_6,Female,293915
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_7,Total,583750
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_7,Male,298505
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_7,Female,285250
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_8,Total,571840
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_8,Male,292315
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_8,Female,279525
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_9,Total,554955
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_9,Male,283825
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_9,Female,271130
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_10,Total,535360
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_10,Male,273760
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_10,Female,261600
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_11,Total,529215
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_11,Male,269195
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_11,Female,260025
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_12_and_above,Total,436905
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_12_and_above,Male,209430
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_12_and_above,Female,227475
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Not_followed,Total,1410
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Not_followed,Male,985
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Not_followed,Female,425
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Unclassified,Total,0
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Unclassified,Male,0
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Unclassified,Female,0
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_Eligible,Total,1118520
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_NotEligible,Total,6906555
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_Unclassified,Total,0
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_eligible_in_last_6_years,Total,1881590
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_not_eligible_in_last_6_years,Total,5394525
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_unclassified_in_last_6_years,Total,748960
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_Provision_No_SEN,Total,6880850
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_provision_SEN_with_statement_EHC,Total,225955
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_provision_SEN_without_statement,Total,918270
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Autistic_spectrum_disorder,Total,108405
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Hearing_impairment,Total,21165
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Moderate_learning_difficulty,Total,259715
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Multisensory_impairment,Total,2720
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_No_specialist_assessment,Total,41245
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Other_difficulty_disability,Total,54340
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Physical_disability,Total,33685
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Profound_and_multiple_learning_difficulty,Total,10980
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Social_emotional_and_mental_health,Total,186795
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Speech_language_and_communications_needs,Total,234075
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Severe_learning_difficulty,Total,32340
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Specific_learning_difficulty,Total,146875
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Visual_impairment,Total,11890
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_0_to_10pc_most_deprived,Total,780130
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_10_to_20pc,Total,838380
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_20_to_30pc,Total,839980
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_30_to_40pc,Total,815200
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_40_to_50pc,Total,833635
